Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002288
Software Version:,,,"2.0,  Build 67"
Firmware Version:,,,2.0.012
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"July 01, 2024 1:59 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,370.0 nm
End Wavelength:,,,780.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,Sample 1-1,,1112-1-1-0V
2,Sample 2-1,,1112-1-1-5V
3,Sample 3-1,,1112-1-1-11V
4,Sample 4-1,,1112-1-2-0V
5,Sample 5-1,,1112-1-2-11V
6,Sample 6-1,,1112-1-2-5V

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6
370.0,0.1731,0.1866,0.1908,0.1743,0.1958,0.1909
371.0,0.1640,0.1858,0.1871,0.1690,0.1922,0.1889
372.0,0.1570,0.1854,0.1848,0.1645,0.1884,0.1867
373.0,0.1546,0.1845,0.1832,0.1616,0.1858,0.1845
374.0,0.1545,0.1816,0.1819,0.1599,0.1830,0.1806
375.0,0.1561,0.1764,0.1799,0.1578,0.1800,0.1762
376.0,0.1567,0.1703,0.1763,0.1556,0.1767,0.1712
377.0,0.1559,0.1633,0.1714,0.1521,0.1724,0.1656
378.0,0.1527,0.1584,0.1669,0.1481,0.1690,0.1616
379.0,0.1471,0.1550,0.1625,0.1435,0.1650,0.1585
380.0,0.1398,0.1533,0.1587,0.1384,0.1619,0.1562
381.0,0.1333,0.1534,0.1565,0.1342,0.1593,0.1548
382.0,0.1277,0.1536,0.1550,0.1306,0.1572,0.1538
383.0,0.1243,0.1534,0.1543,0.1278,0.1556,0.1528
384.0,0.1228,0.1523,0.1535,0.1261,0.1542,0.1514
385.0,0.1227,0.1497,0.1524,0.1252,0.1528,0.1492
386.0,0.1235,0.1458,0.1508,0.1244,0.1511,0.1464
387.0,0.1243,0.1413,0.1479,0.1235,0.1489,0.1428
388.0,0.1239,0.1370,0.1446,0.1218,0.1466,0.1394
389.0,0.1222,0.1334,0.1414,0.1196,0.1441,0.1369
390.0,0.1186,0.1307,0.1382,0.1164,0.1417,0.1345
391.0,0.1145,0.1299,0.1359,0.1135,0.1398,0.1332
392.0,0.1095,0.1301,0.1343,0.1103,0.1379,0.1323
393.0,0.1059,0.1311,0.1339,0.1080,0.1366,0.1318
394.0,0.1031,0.1314,0.1337,0.1061,0.1353,0.1310
395.0,0.1018,0.1314,0.1338,0.1045,0.1343,0.1303
396.0,0.1016,0.1301,0.1332,0.1034,0.1334,0.1293
397.0,0.1025,0.1280,0.1325,0.1028,0.1325,0.1278
398.0,0.1035,0.1254,0.1311,0.1025,0.1315,0.1258
399.0,0.1040,0.1225,0.1292,0.1023,0.1302,0.1238
400.0,0.1039,0.1193,0.1267,0.1014,0.1284,0.1213
401.0,0.1026,0.1169,0.1241,0.0999,0.1266,0.1194
402.0,0.1003,0.1150,0.1215,0.0981,0.1249,0.1179
403.0,0.0975,0.1140,0.1196,0.0960,0.1233,0.1170
404.0,0.0944,0.1136,0.1181,0.0941,0.1219,0.1163
405.0,0.0911,0.1138,0.1175,0.0924,0.1209,0.1159
406.0,0.0888,0.1142,0.1171,0.0914,0.1200,0.1153
407.0,0.0871,0.1142,0.1169,0.0905,0.1189,0.1144
408.0,0.0867,0.1136,0.1169,0.0898,0.1182,0.1135
409.0,0.0872,0.1124,0.1165,0.0893,0.1174,0.1124
410.0,0.0881,0.1108,0.1158,0.0890,0.1165,0.1112
411.0,0.0891,0.1091,0.1148,0.0888,0.1157,0.1099
412.0,0.0896,0.1071,0.1133,0.0886,0.1142,0.1081
413.0,0.0897,0.1055,0.1118,0.0881,0.1128,0.1065
414.0,0.0892,0.1041,0.1104,0.0873,0.1113,0.1050
415.0,0.0870,0.1023,0.1078,0.0850,0.1087,0.1031
416.0,0.0853,0.1016,0.1062,0.0834,0.1073,0.1022
417.0,0.0833,0.1011,0.1051,0.0815,0.1062,0.1016
